dataset	sample_id	cancer	pathway	receiver_compartment	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_spots	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support	matrix_rows	matrix_cols	matrix_nnz
GSE300445	GSM9060732_AdjIII-0019	melanoma	SPP1	ambiguous_or_low_signal	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	360	19.307407	20.127811	0.9592403	0.99722222	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	TGFB	tumor_like	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	1187	7.2444337	44.338018	0.16339102	0.99915754	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	TGFB	immune	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0	0	26.996512	3.7041823e-11	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	TGFB	stroma_fibroblast	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	992	49.742944	12.410564	4.008113	1	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	TGFB	endothelial	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0	0	26.996512	3.7041823e-11	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	TGFB	ambiguous_or_low_signal	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	360	29.444444	26.59208	1.1072637	0.99722222	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	tumor_like	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	1187	1.6789024	2.8799662	0.58295906	0.97978096	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	immune	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0	0	2.3184606	4.3132068e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	stroma_fibroblast	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	992	3.1175115	1.8060763	1.726124	0.99697581	1	1	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	endothelial	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0	0	2.3184606	4.3132068e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	VEGF	ambiguous_or_low_signal	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	360	2.2253968	2.333836	0.95353609	0.98333333	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	tumor_like	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	1187	5.7546034	4.6637785	1.2338929	0.99831508	0.8	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	immune	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0	0	5.1737467	1.9328353e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	stroma_fibroblast	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	992	4.0064804	5.9222458	0.6765137	0.99798387	0.6	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	endothelial	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0	0	5.1737467	1.9328353e-10	0	0.4	0	18085	2539	20010567
GSE300445	GSM9060732_AdjIII-0019	melanoma	WNT	ambiguous_or_low_signal	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	360	6.475	4.9587622	1.3057694	0.99166667	1	1	18085	2539	20010567
