axis	rows	samples	max_v3_score	max_target_enrichment
CXCL12-CXCR4	1	GSM8855717_NSCLC_P15	0.931608	1.901547
MIF-CD74	6	GSM8855706_NSCLC_P4,GSM8855711_NSCLC_P9,GSM8855712_NSCLC_P10,GSM8855713_NSCLC_P11,GSM8855717_NSCLC_P15,GSM8855718_NSCLC_P16	0.941587	11.615372
