target_gap_reason	candidate	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	spatiallr_trust_score_pilot_v3	confidence_tier_pilot_v3	tri_method_support_count	external_method_support_count	spatial_null_p	label_null_p	fake_lr_null_p	dataset_recurrence_n	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support
low_percentile_and_low_enrichment	immune->immune SPP1-CD44	GSE292299	GSM8855709_NSCLC_P7	NSCLC	immune	immune	SPP1	CD44	SPP1	0.930357	high_pilot_v3	3	2	0.019607843	0.096774194	0.0099009901	14	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	16.497006	18.231956	0.90484018	1	0.6	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-ITGAV	GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.938391	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	19.012684	17.424319	1.0911579	0.99290221	0.8	0
low_percentile_and_low_enrichment	immune->immune SPP1-ITGAV	GSE292299	GSM8855709_NSCLC_P7	NSCLC	immune	immune	SPP1	ITGAV	SPP1	0.937432	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	14	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	16.497006	18.231956	0.90484018	1	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like MIF-CD74	GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.939492	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	5.6347792	6.2579363	0.90042131	0.93059937	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like COL1A1-ITGA2	GSE292299	GSM8855710_NSCLC_P8	NSCLC	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	0.918216	high_pilot_v3	3	2	0.019607843	0.064516129	0.0099009901	15	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	3.0522355	10.238552	0.29811202	0.99203187	0.6	0
low_percentile_and_low_enrichment	stroma_fibroblast->endothelial TGFB1-TGFBR2	GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	endothelial	TGFB1	TGFBR2	TGFB	0.774036	high_pilot_v3	3	2	0.058823529	0.032258065	0.0099009901	3	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0.62807882	2.7120462	0.23158854	0.89655172	0.4	0
low_percentile_and_low_enrichment	endothelial->endothelial TGFB1-TGFBR2	GSE292299	GSM8855711_NSCLC_P9	NSCLC	endothelial	endothelial	TGFB1	TGFBR2	TGFB	0.826222	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	7	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0.62807882	2.7120462	0.23158854	0.89655172	0.4	0
low_percentile_and_low_enrichment	tumor_like->tumor_like VEGFA-KDR	GSE292299	GSM8855711_NSCLC_P9	NSCLC	tumor_like	tumor_like	VEGFA	KDR	VEGF	0.917084	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0.39756825	0.96503497	0.4119729	0.82988942	0.4	0
low_percentile_and_low_enrichment	immune->endothelial SPP1-ITGAV	GSE292299	GSM8855711_NSCLC_P9	NSCLC	immune	endothelial	SPP1	ITGAV	SPP1	0.86343	high_pilot_v3	3	2	0.019607843	0.096774194	0.0099009901	7	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	0.74137931	2.3060982	0.32148645	0.87931034	0.2	0
low_percentile_and_low_enrichment	stroma_fibroblast->stroma_fibroblast CXCL12-CXCR4	GSE292299	GSM8855714_NSCLC_P12	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.900705	high_pilot_v3	3	2	0.019607843	0.032258065	0.079207921	17	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.64052698	0.71162543	0.90009006	0.72271016	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like VEGFA-KDR	GSE292299	GSM8855714_NSCLC_P12	NSCLC	tumor_like	tumor_like	VEGFA	KDR	VEGF	0.905294	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0.38392857	1.0498307	0.36570523	0.453125	0.4	0
low_receiver_enrichment	tumor_like->tumor_like MIF-CD74	GSE292299	GSM8855715_NSCLC_P13	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.940735	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	6.7904762	5.732919	1.184471	0.99761905	1	0
low_percentile_and_low_enrichment	tumor_like->tumor_like SPP1-CD44	GSE292299	GSM8855717_NSCLC_P15	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.908632	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	16	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.2244898	1.1048512	1.1082848	0.91836735	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like SPP1-ITGAV	GSE292299	GSM8855717_NSCLC_P15	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.879967	high_pilot_v3	3	2	0.019607843	0.032258065	0.079207921	15	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.2244898	1.1048512	1.1082848	0.91836735	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like MIF-CD74	GSE292299	GSM8855717_NSCLC_P15	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.933845	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	2.6387755	6.0272009	0.43781111	0.92857143	0.6	0
low_percentile_and_low_enrichment	stroma_fibroblast->stroma_fibroblast CXCL12-CXCR4	GSE292299	GSM8855718_NSCLC_P16	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.904856	high_pilot_v3	3	2	0.019607843	0.032258065	0.02970297	17	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.27687718	0.82285714	0.33648269	0.63081166	0.4	0
low_percentile_and_low_enrichment	tumor_like->tumor_like SPP1-CD44	GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.924506	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	16	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	2.4722222	6.0245089	0.41036079	0.99074074	0.4	0
low_percentile_and_low_enrichment	tumor_like->tumor_like SPP1-ITGAV	GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.916445	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	2.4722222	6.0245089	0.41036079	0.99074074	0.4	0
low_percentile_and_low_enrichment	immune->immune TGFB1-TGFBR1	GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	TGFB1	TGFBR1	TGFB	0.890526	high_pilot_v3	3	2	0.019607843	0.032258065	0.059405941	13	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0.33843228	0.52843708	0.64044007	0.82933686	0.6	0
low_percentile_and_low_enrichment	immune->immune TGFB1-TGFBR2	GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	TGFB1	TGFBR2	TGFB	0.906028	high_pilot_v3	3	2	0.019607843	0.032258065	0.02970297	13	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0.33843228	0.52843708	0.64044007	0.82933686	0.6	0
