method	dataset	sample_id	cancer	platform	sender_compartment	receiver_compartment	ligand	receptor	pathway	lr_means	cellphone_pvals	ligand_props	receptor_props
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	MIF	CD74	MIF	2.586211570190812	0.0	0.995787700084246	0.9949596774193549
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	MIF	CD74	MIF	2.424925352504955	0.0	0.9833333333333333	0.9949596774193549
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	SPP1	CD44	SPP1	2.3307254487681117	0.0	0.9359730412805392	0.9916666666666667
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	SPP1	CD44	SPP1	2.2914181290393376	0.0	0.9359730412805392	0.9991575400168492
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	COL1A1	ITGA2	ECM-integrin	2.2677569655898226	0.0	1.0	0.7388374052232519
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	2.227242119578303	0.0	1.0	0.4586693548387097
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	COL1A1	ITGA2	ECM-integrin	2.2233529058987695	0.0	1.0	0.5083333333333333
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	SPP1	CD44	SPP1	2.218589012382881	0.0	0.9359730412805392	0.9889112903225806
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	2.194202363108162	0.0	0.9334677419354839	0.9949596774193549
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	SPP1	CD44	SPP1	2.1189860163929866	0.01	0.9472222222222222	0.9916666666666667
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	SPP1	CD44	SPP1	2.0794895594835614	0.09	0.9472222222222222	0.9991575400168492
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	MIF	CD74	MIF	2.0333353271039267	0.0	0.995787700084246	0.9888888888888889
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	SPP1	CD44	SPP1	2.007003579976915	0.85	0.9472222222222222	0.9889112903225806
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	MIF	CD74	MIF	1.8718201977672715	0.01	0.9833333333333333	0.9888888888888889
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	SPP1	ITGAV	SPP1	1.84696120080881	0.0	0.9359730412805392	0.938508064516129
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	SPP1	ITGAV	SPP1	1.8458281779590597	0.0	0.9359730412805392	0.9666666666666667
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	SPP1	CD44	SPP1	1.8117406585696614	1.0	0.8084677419354839	0.9916666666666667
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	COL1A1	ITGA2	ECM-integrin	1.8060948631526452	0.0	0.9944444444444445	0.7388374052232519
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	1.77219570837434	1.0	0.8084677419354839	0.9991575400168492
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	1.7654234559523918	0.0	0.9944444444444445	0.4586693548387097
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	COL1A1	ITGA2	ECM-integrin	1.761619591843961	0.0	0.9944444444444445	0.5083333333333333
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	1.6998272956868643	1.0	0.8084677419354839	0.9889112903225806
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	SPP1	ITGAV	SPP1	1.695148286727449	0.0	0.9359730412805392	0.9721988205560236
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	MIF	CD74	MIF	1.641033131232664	1.0	0.9334677419354839	0.9888888888888889
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	SPP1	ITGAV	SPP1	1.635321768895139	0.0	0.9472222222222222	0.938508064516129
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	SPP1	ITGAV	SPP1	1.634053736353432	0.0	0.9472222222222222	0.9666666666666667
