method	dataset	sample_id	cancer	platform	sender_compartment	receiver_compartment	ligand	receptor	pathway	lr_means	cellphone_pvals	ligand_props	receptor_props
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	endothelial	CCL2	CCR2	CCL chemokine	0.20526960236640868	0.0	0.20689655172413793	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	stroma_fibroblast	WNT5A	FZD5	WNT	0.20352309148008033	0.86	0.17823834196891192	0.18203799654576858
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	tumor_like	JAG1	NOTCH2	NOTCH	0.20030371162980687	0.98	0.14224137931034483	0.26906474820143883
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.19994710788301914	0.0	0.20689655172413793	0.1084628670120898
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	endothelial	CXCL12	CXCR4	CXCL chemokine	0.19945581425791795	1.0	0.15165467625899282	0.13793103448275862
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	immune	JAG1	NOTCH2	NOTCH	0.19775871951715318	0.94	0.14224137931034483	0.17672413793103448
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	0.19723237792494877	0.0	0.20689655172413793	0.0867630700778643
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	stroma_fibroblast	WNT5A	FZD5	WNT	0.19610239357365047	0.96	0.14627363737486096	0.18203799654576858
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	endothelial	JAG1	NOTCH2	NOTCH	0.1959151687907058	0.83	0.15906562847608455	0.10344827586206896
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	stroma_fibroblast	WNT5A	FZD5	WNT	0.19556797099482326	0.8	0.1206896551724138	0.18203799654576858
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	stroma_fibroblast	WNT5A	FZD5	WNT	0.19537006452760544	1.0	0.21410071942446043	0.18203799654576858
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	JAG1	NOTCH2	NOTCH	0.19489039155582288	1.0	0.15906562847608455	0.18298109010011124
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	tumor_like	TGFB1	TGFBR1	TGFB	0.19473182482501708	0.66	0.1896551724137931	0.21323741007194244
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	0.19423400273766342	0.89	0.23350604490500865	0.21323741007194244
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	tumor_like	TGFB1	TGFBR2	TGFB	0.19403235100316973	1.0	0.12235817575083426	0.29035971223021584
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.1940042926044837	1.0	0.15165467625899282	0.23482014388489209
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.19371265174388883	1.0	0.18820143884892088	0.26906474820143883
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	immune	JAG1	NOTCH2	NOTCH	0.1909866156292995	1.0	0.18820143884892088	0.17672413793103448
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.19017445743229397	1.0	0.17237410071942447	0.29035971223021584
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	endothelial	JAG1	NOTCH2	NOTCH	0.18740663885172007	0.84	0.14224137931034483	0.10344827586206896
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	ambiguous_or_low_signal	JAG1	NOTCH2	NOTCH	0.18620267737486768	1.0	0.14224137931034483	0.18298109010011124
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	immune	WNT5A	FZD5	WNT	0.18341171419196184	0.92	0.17823834196891192	0.13793103448275862
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	stroma_fibroblast	JAG1	NOTCH2	NOTCH	0.18146284717838432	0.95	0.06896551724137931	0.25630397236614855
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	TGFB1	TGFBR1	TGFB	0.18051131932402417	0.99	0.12235817575083426	0.19966629588431592
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	endothelial	JAG1	NOTCH2	NOTCH	0.1803054847524433	0.9	0.18820143884892088	0.10344827586206896
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	ambiguous_or_low_signal	JAG1	NOTCH2	NOTCH	0.17959941028822207	1.0	0.18820143884892088	0.18298109010011124
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	stroma_fibroblast	endothelial	CCL2	CCR2	CCL chemokine	0.17951151556669545	0.0	0.22487046632124352	0.06896551724137931
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	tumor_like	CCL2	CCR2	CCL chemokine	0.17938400631199528	0.0	0.20689655172413793	0.06992805755395684
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	immune	immune	CCL2	CCR2	CCL chemokine	0.17850030076855836	0.01	0.20689655172413793	0.06465517241379311
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	endothelial	endothelial	CXCL12	CXCR4	CXCL chemokine	0.1770370922241022	1.0	0.06896551724137931	0.13793103448275862
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	tumor_like	ambiguous_or_low_signal	TGFB1	TGFBR1	TGFB	0.17664428633281115	1.0	0.17237410071942447	0.19966629588431592
