dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes	null_model	fake_draws_requested	fake_draws_used	null_mean_score	null_ge_observed_n	empirical_p_ge	observed_to_null_mean_ratio	fake_pair_examples
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.43386689	0.034540859	0.14406066	0.027801179	5866	0.13003617	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	1.6136231	89	0.89108911	0.08058646	EGF-CCR2;CXCL12-KDR;WNT5A-EGFR;WNT5A-CXCR4;CCL2-FZD5
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	0.43386689	0.26310484	0.14406066	0.21068548	332	0.66301386	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	1.2458217	51	0.51485149	0.53219001	DLL4-KDR;CXCL12-FZD5;EGF-KDR;CXCL12-EGFR;EGF-CCR2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	2.4012097	0.034540859	0.58165323	0.027801179	332	0.48172644	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	4.645741	93	0.93069307	0.10369206	VEGFA-FZD5;WNT5A-EGFR;VEGFA-EGFR;JAG1-CXCR4;CCL2-FZD5
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	2.4012097	0.26310484	0.58165323	0.21068548	4614	5.3302849	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	8.3612334	67	0.67326733	0.63749983	TGFB1-ITGA2;WNT5A-ITGA2;WNT5A-EGFR;JAG1-CCR2;JAG1-FZD5
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	CCL2	CCR2	CCL chemokine	0.51137321	0.048862679	0.28475147	0.042965459	5866	0.21681523	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	1.3122228	73	0.73267327	0.16522745	EGF-CXCR3;DLL4-EGFR;CXCL9-CXCR4;CXCL12-CXCR3;CXCL12-EGFR
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.51137321	0.20766129	0.28475147	0.17641129	332	0.61678071	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	1.2067602	58	0.58415842	0.51110461	WNT5A-CXCR3;DLL4-FZD5;CXCL12-EGFR;CXCL9-FZD5;DLL4-EGFR
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	1.90625	0.048862679	0.7328629	0.042965459	332	0.54099642	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	3.9186585	83	0.83168317	0.13805654	TGFB1-CXCR3;CXCL9-CXCR4;HBEGF-CXCR4;WNT5A-KDR;CXCL9-EGFR
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CCL2	CCR2	CCL chemokine	1.90625	0.20766129	0.7328629	0.17641129	4614	3.3398496	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	7.4486257	80	0.8019802	0.44838467	CXCL9-EGFR;WNT5A-CXCR3;WNT5A-EGFR;TGFB1-EGFR;CXCL9-EGFR
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	VEGFA	KDR	VEGF	14.617523	0.43386689	0.94355518	0.24094356	5866	55.030675	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	12.073444	4	0.04950495	4.5579932	TGFB1-CCR2;JAG1-CXCR4;CXCL12-FZD5;HBEGF-CCR2;CXCL12-CXCR3
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	VEGFA	KDR	VEGF	14.617523	1.1461694	0.94355518	0.4828629	332	97.310532	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	9.1193849	0	0.0099009901	10.670734	HBEGF-CXCR3;TGFB1-FZD5;HBEGF-ITGA2;TGFB1-CCR2;COL1A1-CCR2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	VEGFA	KDR	VEGF	1.5332661	0.43386689	0.64919355	0.24094356	332	3.8637704	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	3.1973989	36	0.36633663	1.2084105	CCL2-FZD5;HBEGF-CXCR3;HBEGF-CXCR3;CCL2-FZD5;HBEGF-CXCR4
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	VEGFA	KDR	VEGF	1.5332661	1.1461694	0.64919355	0.4828629	4614	14.827155	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	4.7190417	0	0.0099009901	3.1419843	HBEGF-CXCR3;TGFB1-ITGA2;WNT5A-ITGA2;CCL2-FZD5;HBEGF-CXCR3
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	CD44	SPP1	81.470093	29.033698	0.93597304	0.99915754	5866	20524.619	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	778.76715	0	0.0099009901	26.355271	HBEGF-CD74;MIF-NOTCH1;COL1A1-TGFBR2;COL1A1-NOTCH1;VEGFA-ITGAV
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	CD44	SPP1	81.470093	14.585685	0.93597304	0.98891129	332	6901.7992	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	337.0396	0	0.0099009901	20.47771	VEGFA-TGFBR2;JAG1-TGFBR2;HBEGF-NOTCH2;HBEGF-NOTCH1;HBEGF-TGFBR2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	20.359879	29.033698	0.80846774	0.99915754	332	3433.3242	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	129.14329	0	0.0099009901	26.585386	CXCL9-TGFBR2;CCL2-TGFBR2;CXCL9-TGFBR1;CXCL9-TGFBR1;CXCL9-NOTCH1
