dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes	null_model	null_permutations	null_mean_score	null_ge_observed_n	empirical_p_ge	observed_to_null_mean_ratio	null_mean_adjacency_pairs
GSE283052	GSM8655161_P09	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	immune	HBEGF	EGFR	EGF/ERBB	0.055658627	0.015384615	0.050092764	0.015384615	6	0.0016662567	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0025453083	50	1	0.65463845	19.06
GSE283052	GSM8655161_P09	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	0.055658627	0.12615955	0.050092764	0.10575139	882	0.047631612	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.035238744	0	0.019607843	1.351683	151.56
GSE283052	GSM8655161_P09	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	2.6398724	0.36395534	0.70175439	0.27017544	7024	8.5099887	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	8.2187255	0	0.019607843	1.035439	5188.8
GSE283052	GSM8655161_P09	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	2.6398724	0.48794063	0.70175439	0.2690167	590	8.2204236	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	8.7679302	50	1	0.93755577	904.24
GSE283052	GSM8655161_P09	colorectal cancer	stdlib_marker_lr_pilot	immune	tumor_like	COL1A1	ITGA2	ECM-integrin	0.10769231	0.36395534	0.10769231	0.27017544	20	0.11933064	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.18468258	50	1	0.64613911	111.16
GSE283052	GSM8655161_P09	colorectal cancer	stdlib_marker_lr_pilot	immune	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.10769231	0.48794063	0.10769231	0.2690167	6	0.10225262	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.15619709	50	1	0.65463843	19.06
GSE283052	GSM8655161_P09	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	COL1A1	ITGA2	ECM-integrin	20.231911	0.36395534	0.67717996	0.27017544	590	46.992579	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	50.122436	50	1	0.93755577	904.24
GSE283052	GSM8655161_P09	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	20.231911	0.48794063	0.67717996	0.2690167	882	66.964792	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	49.54179	0	0.019607843	1.3516829	151.56
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.04375645	0.1628483	0.041073271	0.13498452	13052	0.067528296	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.067685503	50	1	0.99767739	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.04375645	0.37931034	0.041073271	0.34482759	87	0.074311586	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.072294458	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	0.31034483	0.1628483	0.24137931	0.13498452	87	0.22628069	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.22013849	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.31034483	0.37931034	0.24137931	0.34482759	24	0.37891642	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.039227389	0	0.019607843	9.6594861	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.04375645	0.4130031	0.041073271	0.27203302	13052	0.17125998	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.17165867	50	1	0.99767742	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.04375645	0.93103448	0.041073271	0.48275862	87	0.18240117	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.17745004	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	0.31034483	0.4130031	0.24137931	0.27203302	87	0.57387537	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.558298	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.31034483	0.93103448	0.24137931	0.48275862	24	0.93006757	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.09628541	0	0.019607843	9.659486	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.020846233	0.036119711	0.020227038	0.032404541	13052	0.0071356304	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0071522421	50	1	0.99767741	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.020846233	0.20689655	0.020227038	0.17241379	87	0.019310815	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.018786639	15	0.31372549	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.13793103	0.036119711	0.13793103	0.032404541	87	0.022306222	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.021700737	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.13793103	0.20689655	0.13793103	0.17241379	24	0.091858525	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0095096697	0	0.019607843	9.6594864	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.0063983488	0.0076367389	0.0059855521	0.0074303406	13052	0.00046305902	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.00046413702	50	1	0.99767742	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.51724138	0.0076367389	0.034482759	0.0074303406	87	0.017685648	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.017205585	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	CCL2	CCR2	CCL chemokine	0.06996904	0.0008255934	0.063570691	0.0008255934	13052	0.00054743507	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0005487095	50	1	0.9976774	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CCL2	CCR2	CCL chemokine	0.06996904	0.068965517	0.063570691	0.068965517	87	0.02160517	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.021018715	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	1.0344828	0.0008255934	0.4137931	0.0008255934	87	0.0038239238	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0037201267	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CCL2	CCR2	CCL chemokine	1.0344828	0.068965517	0.4137931	0.068965517	24	0.22964631	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.023774176	0	0.019607843	9.6594855	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	VEGFA	KDR	VEGF	0.63095975	0.014241486	0.35727554	0.013622291	13052	0.085156432	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.085354675	50	1	0.99767742	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	VEGFA	KDR	VEGF	0.63095975	0.17241379	0.35727554	0.17241379	87	0.4870723	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.47385111	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	VEGFA	KDR	VEGF	0.55172414	0.014241486	0.34482759	0.013622291	87	0.035180099	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.034225164	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	VEGFA	KDR	VEGF	0.55172414	0.17241379	0.34482759	0.17241379	24	0.30619508	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0316989	0	0.019607843	9.659486	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	CD44	SPP1	0.15417957	2.5566563	0.11578947	0.71620227	13052	3.735594	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	3.7442905	50	1	0.99767741	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	CD44	SPP1	0.15417957	2.3448276	0.11578947	0.68965517	87	1.618667	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	1.5747296	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	0.24137931	2.5566563	0.13793103	0.71620227	87	2.7630718	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	2.6880704	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.24137931	2.3448276	0.13793103	0.68965517	24	1.8218608	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.18860846	0	0.019607843	9.6594862	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.15417957	0.33890609	0.11578947	0.24437564	13052	0.49518409	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.49633689	50	1	0.99767738	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	ITGAV	SPP1	0.15417957	0.96551724	0.11578947	0.44827586	87	0.66650992	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.64841807	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	ITGAV	SPP1	0.24137931	0.33890609	0.13793103	0.24437564	87	0.36626817	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.35632612	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.24137931	0.96551724	0.13793103	0.44827586	24	0.75017796	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.077662306	0	0.019607843	9.6594861	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	MIF	CD74	MIF	7.7104231	0.65159959	0.91455108	0.36904025	13052	47.612337	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	47.723179	50	1	0.9976774	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	MIF	CD74	MIF	7.7104231	3.1034483	0.91455108	0.62068966	87	107.13774	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	104.22958	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	MIF	CD74	MIF	8.3793103	0.65159959	0.89655172	0.36904025	87	24.446058	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	23.78249	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	8.3793103	3.1034483	0.89655172	0.62068966	24	83.706081	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	8.6656869	0	0.019607843	9.659486	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	DLL4	NOTCH1	NOTCH	0.047265222	0.5622291	0.043343653	0.33436533	13052	0.25183467	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.25242094	50	1	0.99767742	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	DLL4	NOTCH1	NOTCH	0.047265222	0.65517241	0.043343653	0.4137931	87	0.1386491	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.13488559	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	DLL4	NOTCH1	NOTCH	0.31034483	0.5622291	0.24137931	0.33436533	87	0.78122764	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.76002186	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	DLL4	NOTCH1	NOTCH	0.31034483	0.65517241	0.24137931	0.4137931	24	0.65449199	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0677564	0	0.019607843	9.659486	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.33642931	0.24107327	0.24355005	0.18926729	13052	0.7686053	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.77039461	50	1	0.99767741	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	JAG1	NOTCH2	NOTCH	0.33642931	0.24137931	0.24355005	0.17241379	87	0.36359142	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.35372203	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	JAG1	NOTCH2	NOTCH	0.34482759	0.24107327	0.24137931	0.18926729	87	0.37219525	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.36209232	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	JAG1	NOTCH2	NOTCH	0.34482759	0.24137931	0.24137931	0.17241379	24	0.2679207	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.027736538	0	0.019607843	9.659486	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	WNT5A	FZD5	WNT	0.06377709	0.4371517	0.055521156	0.27863777	13052	0.26421493	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.26483003	50	1	0.99767739	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	WNT5A	FZD5	WNT	0.06377709	0.48275862	0.055521156	0.27586207	87	0.13785245	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.13411056	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	WNT5A	FZD5	WNT	0.51724138	0.4371517	0.31034483	0.27863777	87	1.0123838	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.9849035	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	WNT5A	FZD5	WNT	0.51724138	0.48275862	0.31034483	0.27586207	24	0.8037621	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.083209613	0	0.019607843	9.6594861	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	EGF	EGFR	EGF/ERBB	0.0008255934	0.1880289	0.0008255934	0.15376677	13052	0.0014711308	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0014745557	50	1	0.99767736	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	EGF	EGFR	EGF/ERBB	0.0008255934	0.13793103	0.0008255934	0.10344828	87	0.00050985651	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.00049601686	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.049535604	0.1880289	0.045820433	0.15376677	13052	0.08826785	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.08847334	50	1	0.99767738	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	0.049535604	0.13793103	0.045820433	0.10344828	87	0.030591391	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.029761012	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	HBEGF	EGFR	EGF/ERBB	0.068965517	0.1880289	0.068965517	0.15376677	87	0.05805991	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.056483922	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	0.068965517	0.13793103	0.068965517	0.10344828	24	0.030619508	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0031698899	0	0.019607843	9.6594862	0.72
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	1.4499484	0.37750258	0.6	0.26088751	13052	5.1871996	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	5.1992754	50	1	0.9976774	13343.32
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	1.4499484	0.44827586	0.6	0.37931034	87	2.9101654	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	2.8311713	15	0.31372549	1.0279016	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	COL1A1	ITGA2	ECM-integrin	29.551724	0.37750258	1	0.26088751	87	49.948507	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	48.592696	16	0.33333333	1.0279015	78.26
GSE283052	GSM8655162_P10	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	29.551724	0.44827586	1	0.37931034	24	42.641493	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	4.4144681	0	0.019607843	9.6594861	0.72
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.14995691	0.14708417	0.11864407	0.11950589	7974	0.19815516	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.19659382	0	0.019607843	1.007942	7430.04
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	immune	TGFB1	TGFBR1	TGFB	0.14995691	0.034482759	0.11864407	0.034482759	13	0.013646375	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.021453939	50	1	0.63607783	63.56
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.14995691	0.42028986	0.11864407	0.28571429	594	0.40264143	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.43729906	50	1	0.92074615	1031.4
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	immune	tumor_like	TGFB1	TGFBR1	TGFB	0.5862069	0.14708417	0.31034483	0.11950589	13	0.22754416	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.35773004	50	1	0.63607787	63.56
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	immune	immune	TGFB1	TGFBR1	TGFB	0.5862069	0.034482759	0.31034483	0.034482759	16	0.057270662	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0052986581	0	0.019607843	10.808522	0.52
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	immune	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.5862069	0.42028986	0.31034483	0.28571429	6	0.47942714	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.53004168	37	0.74509804	0.90450838	8.12
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	0.7805383	0.14708417	0.44513458	0.11950589	594	0.7334377	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.79656883	50	1	0.92074618	1031.4
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	immune	TGFB1	TGFBR1	TGFB	0.7805383	0.034482759	0.44513458	0.034482759	6	0.052374393	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.057903712	37	0.74509804	0.90450838	8.12
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.7805383	0.42028986	0.44513458	0.28571429	964	2.2544176	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	1.6226073	0	0.019607843	1.3893797	141.24
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.14995691	0.38322321	0.11864407	0.2289572	7974	0.51628709	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.51221906	0	0.019607843	1.007942	7430.04
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	immune	TGFB1	TGFBR2	TGFB	0.14995691	0.48275862	0.11864407	0.24137931	13	0.19104925	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.30035514	50	1	0.63607784	63.56
GSE283052	GSM8655163_P11	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.14995691	0.69772257	0.11864407	0.41821946	594	0.66842444	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.72595953	50	1	0.92074615	1031.4
