dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	VEGFA	KDR	VEGF	14.617523	1.1461694	0.94355518	0.4828629	332	97.310532	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	VEGFA	KDR	VEGF	1.5332661	0.43386689	0.64919355	0.24094356	332	3.8637704	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	VEGFA	KDR	VEGF	1.5332661	1.1461694	0.64919355	0.4828629	4614	14.827155	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	CD44	SPP1	81.470093	29.033698	0.93597304	0.99915754	5866	20524.619	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	CD44	SPP1	81.470093	14.585685	0.93597304	0.98891129	332	6901.7992	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	20.359879	29.033698	0.80846774	0.99915754	332	3433.3242	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	20.359879	14.585685	0.80846774	0.98891129	4614	2505.495	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	ITGAV	SPP1	81.470093	5.831508	0.93597304	0.97219882	5866	4122.4332	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	ITGAV	SPP1	81.470093	5.8356855	0.93597304	0.93850806	332	2761.3875	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	ITGAV	SPP1	20.359879	5.831508	0.80846774	0.97219882	332	689.59377	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	20.359879	5.8356855	0.80846774	0.93850806	4614	1002.4404	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	MIF	CD74	MIF	34.191238	10.328559	0.9957877	0.92923336	5866	3064.2848	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	MIF	CD74	MIF	34.191238	61.388105	0.9957877	0.99495968	332	12190.915	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
