dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	0.903043	15	1	0.00460941777860446	0.0	1	18.620343	1.0	9	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.90295	12	1	0.000893543917081068	0.0	1	4.4562411	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.902226	4	1	0.000594739569095178	0.0	1	1.677684	1.0	8	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.902098	12	1	0.000381307609208178	0.0	1	5.2097505	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	SPP1	CD44	SPP1	0.901814	14	1	0.00264373743852162	0.0	1	2.8312377	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	SPP1	ITGAV	SPP1	0.901566	14	1	0.000581363897321911	0.0	1	1.6399458	0.8	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855703_NSCLC_P1	NSCLC	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.901564	17	1	0.000815707949199828	0.0	1	8.4557128	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.901346	12	1	0.000527213687094712	0.0	1	6.4510675	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.900855	12	1	0.000893543917081068	0.0	1	4.4562411	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.898121	12	1	0.000381307609208178	0.0	1	5.2097505	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855703_NSCLC_P1	NSCLC	stroma_fibroblast	stroma_fibroblast	JAG1	NOTCH2	NOTCH	0.89773	17	1	0.00184727283927048	0.0	1	1.4107078	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.895894	15	1	0.00121816619010595	0.0	1	1.9688999	1.0	8	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.895604	17	1	0.000776074931889172	0.0	1	5.2943127	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655163_P11	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.893219	12	1	0.000561430497043533	0.0	1	5.5762074	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655166_P17	colorectal cancer	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.891658	11	1	0.000901299864939646	0.0	1	2.9023903	1.0	8	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.890194	11	1	0.00207640920520821	0.0	1	1.9208594	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	TGFB1	TGFBR2	TGFB	0.889757	13	1	0.00164696098542434	0.0	1	3.2025445	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655163_P11	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.887294	12	1	0.000561430497043533	0.0	1	5.5762074	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	WNT5A	FZD5	WNT	0.885301	15	1	0.000488389910180734	0.0	1	1.8489498	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655161_P09	colorectal cancer	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.883135	11	1	0.000444453752477563	0.0	1	2.2156297	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.881305	15	1	3.05479425167762e-05	0.0	1	50.494261	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.881128	15	1	0.00111644407612973	0.0	1	2.5841253	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like	tumor_like	DLL4	NOTCH1	NOTCH	0.88053	15	1	0.000754279309147922	0.0	1	2.5841253	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655164_P13	colorectal cancer	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.879797	5	1	0.00339860619403156	0.0	1	2.748912	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.876802	11	1	0.000755146907097725	0.0	1	1.6168432	1.0	8	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655163_P11	colorectal cancer	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.876068	5	1	0.00172741724520454	0.01	1	3.3378572	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.87023	17	1	0.000776074931889172	0.0	1	5.2943127	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	MIF	CD74	MIF	0.866693	1	1	0.0883834807993991	0.0	1	6.3122547	1.0	5	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	SPP1	CD44	SPP1	0.866338	1	1	0.0262928743796046	0.0	1	4.3520993	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	CXCL9	CXCR3	CXCL chemokine	0.861757	1	1	0.0267948866743966	0.0	1	6.1751362	1.0	7	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	SPP1	ITGAV	SPP1	0.853576	1	1	0.00374709975056285	0.01	1	4.3520993	1.0	6	1	cellchat_and_target	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
