dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.936012	11	1	0.0634460156851413	0.0	1	3.1676928	0.8	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.935763	12	1	0.0828717892359584	0.0	1	3.2772337	1.0	9	1	cellchat_and_target	1	direct_ecm_receptor_other_cancer	broad_pathway	GEO_GSE283052;PMID_36575207	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655159_P05	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.935266	11	1	0.00848784558424705	0.0	1	2.4299352	1.0	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855708_NSCLC_P6	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.934698	15	1	0.10951933523391	0.0	1	1.3434962	1.0	6	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_34418441;PMID_41120125;PMID_39267037;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855711_NSCLC_P9	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.934662	15	1	0.0938032844801379	0.0	1	1.274579	1.0	5	1	cellchat_and_target	1	direct_axis_same_cancer	same_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	1	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655158_P04	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.934378	11	1	0.046790347459127	0.0	1	2.0002012	1.0	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855714_NSCLC_P12	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.933561	17	1	0.0527329716952663	0.0	1	4.1520727	1.0	9	1	cellchat_and_target	1	direct_ecm_receptor_other_cancer	broad_pathway	GEO_GSE292299;PMID_42092150;PMID_36575207;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.932638	11	1	0.0300694030918075	0.0	1	2.354084	0.8	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	immune	immune	SPP1	CD44	SPP1	0.932531	14	1	0.0768905319906893	0.0	1	3.2278427	1.0	6	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_34418441;PMID_41120125;PMID_39267037;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.932247	4	1	0.000950329850158859	0.0	1	1.7923923	1.0	6	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE300445;PMID_42315253;PMID_34418441;PMID_41120125;PMID_39267037	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.931821	12	1	0.06601965951388	0.0	1	6.2395148	1.0	9	1	cellchat_and_target	1	direct_ecm_receptor_other_cancer	broad_pathway	GEO_GSE283052;PMID_36575207	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.931608	14	1	0.0776110655399489	0.0	1	1.9015468	1.0	7	1	cellchat_and_target	1	direct_axis_same_cancer	same_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_21463876;PMID_41383468;PMID_41991241;PMID_40457349	1	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.930969	15	1	0.00577224294455928	0.0	1	2.1112671	1.0	5	1	cellchat_and_target	1	direct_axis_same_cancer	same_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	1	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.93072	4	1	0.0111968266594417	0.0	1	1.9646592	1.0	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE300445;PMID_42315253;PMID_41519773;PMID_31894255;PMID_27196489	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	MIF	CD74	MIF	0.930259	15	1	0.0304408875618018	0.0	1	7.8741462	1.0	5	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_39998673	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855704_NSCLC_P2	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.929398	17	1	0.0645303168743875	0.0	1	2.3889559	1.0	9	1	cellchat_and_target	1	direct_ecm_receptor_other_cancer	broad_pathway	GEO_GSE292299;PMID_42092150;PMID_36575207;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855715_NSCLC_P13	NSCLC	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.928387	15	1	0.0171881765368568	0.04	1	1.4477307	1.0	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_41519773;PMID_31894255;PMID_27196489;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855707_NSCLC_P5	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.927773	17	1	0.0418289512404144	0.0	1	6.4912284	1.0	9	1	cellchat_and_target	1	direct_ecm_receptor_other_cancer	broad_pathway	GEO_GSE292299;PMID_42092150;PMID_36575207;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655162_P10	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.927595	11	1	0.0416113032237142	0.0	1	4.3694791	1.0	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
