variant	variant_label	top_n	overlap_with_full_high	retention_fraction	spearman_with_full_v3	top_n_all_null_gate_rows	top_n_both_external_rows	top_n_target_supported_rows	top_n_target_supported_fraction	top_n_mean_full_v3_score	top_n_mean_variant_score
full_v3	Full v3	218	167	0.7660550458715596	1.0	167	218	133	0.6100917431192661	0.9165986192660549	0.9165986192660549
no_null	No null layer	218	65	0.2981651376146789	0.9060106990899883	65	218	83	0.38073394495412843	0.8515118486238533	0.9058794112308869
no_external	No external support	218	165	0.7568807339449541	0.9533060200655349	168	214	131	0.6009174311926605	0.915233256880734	0.8963351444237386
no_recurrence	No recurrence	218	174	0.7981651376146789	0.9648577601302079	174	218	132	0.6055045871559633	0.9146865871559633	0.9043983247517539
no_raw_score	No raw score	218	192	0.8807339449541285	0.9778131128196994	192	218	136	0.6238532110091743	0.910988376146789	0.9272079103507824
no_annotation	No annotation quality	218	167	0.7660550458715596	0.9999999994033326	167	218	133	0.6100917431192661	0.9165986192660549	0.9628873506116208
equal_weight	Equal weights	218	151	0.6926605504587156	0.9820332072569239	151	218	129	0.591743119266055	0.914952871559633	0.8690960074311928
