condition_id	sender_compartment	receiver_compartment	ligand	receptor	biological_samples_total	biological_samples_joint_pass_all_replicates	technical_replicates_total	technical_replicates_joint_pass	resource_axis	joint_pair_null_recurrence_fraction	passed_biological_sample_ids	aggregation
label_mix_10	CAF/fibroblast	T/NK	CXCL12	CXCR4	3	0	15	0	1	0.0		all_5_technical_replicates
label_mix_10	endothelial	endothelial	PECAM1	PECAM1	3	0	15	1	1	0.0		all_5_technical_replicates
label_mix_10	tumor/epithelial	CAF/fibroblast	PTN	SDC4	3	0	15	3	1	0.0		all_5_technical_replicates
label_mix_10	tumor/epithelial	T/NK	CD274	PDCD1	3	1	15	12	1	0.3333333333333333	GSM7780155	all_5_technical_replicates
label_mix_25	CAF/fibroblast	T/NK	CXCL12	CXCR4	3	0	15	0	1	0.0		all_5_technical_replicates
label_mix_25	endothelial	endothelial	PECAM1	PECAM1	3	0	15	0	1	0.0		all_5_technical_replicates
label_mix_25	tumor/epithelial	CAF/fibroblast	PTN	SDC4	3	0	15	0	1	0.0		all_5_technical_replicates
label_mix_25	tumor/epithelial	T/NK	CD274	PDCD1	3	1	15	11	1	0.3333333333333333	GSM7780155	all_5_technical_replicates
label_mix_50	CAF/fibroblast	T/NK	CXCL12	CXCR4	3	0	15	4	1	0.0		all_5_technical_replicates
label_mix_50	endothelial	endothelial	PECAM1	PECAM1	3	0	15	0	1	0.0		all_5_technical_replicates
label_mix_50	tumor/epithelial	CAF/fibroblast	PTN	SDC4	3	0	15	0	1	0.0		all_5_technical_replicates
label_mix_50	tumor/epithelial	T/NK	CD274	PDCD1	3	1	15	8	1	0.3333333333333333	GSM7780155	all_5_technical_replicates
spike_high	CAF/fibroblast	T/NK	CXCL12	CXCR4	3	0	15	4	1	0.0		all_5_technical_replicates
spike_high	endothelial	endothelial	PECAM1	PECAM1	3	0	15	4	1	0.0		all_5_technical_replicates
spike_high	tumor/epithelial	CAF/fibroblast	PTN	SDC4	3	0	15	5	1	0.0		all_5_technical_replicates
