sample_id	scorer	replicate_left	replicate_right	common_rows	spearman
GSM7780155	cellchat	2	3	72	0.9990331936835318
GSM7780155	cellchat	2	4	72	0.9988076055430227
GSM7780155	cellchat	2	5	72	0.9988398324202383
GSM7780155	cellchat	3	4	72	0.9993232355784722
GSM7780155	cellchat	3	5	72	0.9992265549468254
GSM7780155	cellchat	4	5	72	0.9994199162101192
GSM7780155	spatiallr_trust	1	2	72	0.43630292203611126
GSM7780155	spatiallr_trust	1	3	72	0.7307036082905183
GSM7780155	spatiallr_trust	1	4	72	0.6635360983733932
GSM7780155	spatiallr_trust	1	5	72	0.7223108175468141
GSM7780155	spatiallr_trust	2	3	72	0.5594218524662183
GSM7780155	spatiallr_trust	2	4	72	0.5829350005310381
GSM7780155	spatiallr_trust	2	5	72	0.44428403240909475
GSM7780155	spatiallr_trust	3	4	72	0.7526686603921732
GSM7780155	spatiallr_trust	3	5	72	0.8304704644429325
GSM7780155	spatiallr_trust	4	5	72	0.7062148913077538
