sample_id	scorer	replicate_pairs	mean_spearman	median_spearman	min_spearman	max_spearman
GSM7780153	cellchat	10	0.9946968568039487	0.9920462490234756	0.9909965824090791	0.999774310033531
GSM7780153	commot	10	0.9741489876142193	0.9767266309253757	0.948597342100025	0.9891134803093896
GSM7780153	liana	10	0.9972458172458174	0.9967824967824968	0.9956241956241957	0.9992277992277993
GSM7780153	spatiallr_trust	10	0.8138711225606141	0.8163161204591803	0.7329972008358397	0.8480214635675307
GSM7780154	cellchat	10	0.9963996963062429	0.9967198075003657	0.9935755677874449	0.99892702655207
GSM7780154	commot	10	0.9820045570629071	0.9845060346513373	0.965085799035761	0.996429605326643
GSM7780154	liana	10	0.9968339768339769	0.997039897039897	0.9943371943371945	0.9987129987129987
GSM7780154	spatiallr_trust	10	0.7876370484917101	0.7798795842523258	0.6269388432616493	0.91741720586981
GSM7780155	cellchat	10	0.999037941537585	0.9990975656241985	0.9985011374964686	0.9994199162101192
GSM7780155	commot	10	0.9857909527949129	0.9860464989218009	0.9760168520032485	0.9930211616389015
GSM7780155	liana	10	0.9953667953667955	0.996911196911197	0.9909909909909911	0.9984555984555985
GSM7780155	spatiallr_trust	10	0.6428848347796048	0.6848754948405735	0.43630292203611126	0.8304704644429325
