perturbation_family	expected_direction	scorer	sample_id	replicate	axis_id	steps	expected_steps	fully_monotonic	first_value	last_value
spike_strength	nondecreasing	commot	GSM7780155	4	axis_1	2	2	1	136.84825272152096	175.90453662854316
spike_strength	nondecreasing	commot	GSM7780155	4	axis_2	2	2	1	9.636717729649735	37.41434632483952
spike_strength	nondecreasing	commot	GSM7780155	4	axis_3	2	2	1	12.206154480888742	42.057431958709536
spike_strength	nondecreasing	commot	GSM7780155	4	axis_4	2	2	1	2288.6257342827007	2672.395289310639
spike_strength	nondecreasing	commot	GSM7780155	5	axis_1	2	2	1	142.57441196194992	195.312218915328
spike_strength	nondecreasing	commot	GSM7780155	5	axis_2	2	2	1	7.563176088304137	32.2578350621908
spike_strength	nondecreasing	commot	GSM7780155	5	axis_3	2	2	1	12.295738408861066	48.22602287845496
spike_strength	nondecreasing	commot	GSM7780155	5	axis_4	2	2	1	2288.963584163552	2672.8070244905
spike_strength	nondecreasing	liana	GSM7780153	1	axis_1	2	2	1	4.434230439476931	4.488397184756521
spike_strength	nondecreasing	liana	GSM7780153	1	axis_2	2	2	1	0.3202823499875956	0.4216088956309939
spike_strength	nondecreasing	liana	GSM7780153	2	axis_1	2	2	1	4.437433610506191	4.491905658627587
spike_strength	nondecreasing	liana	GSM7780153	2	axis_2	2	2	1	0.3211916452439812	0.4221721758783124
spike_strength	nondecreasing	liana	GSM7780153	3	axis_1	2	2	1	4.400815796084218	4.446295112333011
spike_strength	nondecreasing	liana	GSM7780153	3	axis_2	2	2	1	0.327640218052005	0.4293741388505263
spike_strength	nondecreasing	liana	GSM7780153	4	axis_1	2	2	1	4.392353002014143	4.428207752316963
spike_strength	nondecreasing	liana	GSM7780153	4	axis_2	2	2	1	0.3215302934087674	0.4228636618833304
spike_strength	nondecreasing	liana	GSM7780153	5	axis_1	2	2	1	4.43430107211922	4.488891999223266
spike_strength	nondecreasing	liana	GSM7780153	5	axis_2	2	2	1	0.3327142057188663	0.4324808164189965
spike_strength	nondecreasing	liana	GSM7780154	1	axis_1	2	2	1	3.8273828494305424	3.868780026017055
spike_strength	nondecreasing	liana	GSM7780154	1	axis_2	2	2	1	0.3539734334395791	0.4620095897446493
spike_strength	nondecreasing	liana	GSM7780154	2	axis_1	2	2	1	3.848111456260917	3.8933493916987767
spike_strength	nondecreasing	liana	GSM7780154	2	axis_2	2	2	1	0.344774822592159	0.452593053368819
spike_strength	nondecreasing	liana	GSM7780154	3	axis_1	2	2	1	3.811476898117268	3.848657277188527
spike_strength	nondecreasing	liana	GSM7780154	3	axis_2	2	2	1	0.3408618637497461	0.4483569167396718
spike_strength	nondecreasing	liana	GSM7780154	4	axis_1	2	2	1	3.820814922620962	3.861117875112503
spike_strength	nondecreasing	liana	GSM7780154	4	axis_2	2	2	1	0.3314887378675563	0.4385664680783944
